# Code-Switched Transcript
# Format: [start → end | LANG (hi%)] text  {CS} if code-switched

[64.52s → 66.46s | HINDI (hi=69%)] उसका इतना परसेन, उसका दश परसेन,  {CS:18 switches}
[66.46s → 68.36s | HINDI (hi=67%)] उसका पाँच परसेन, उसका पचाज परसेन,  {CS:20 switches}
[69.06s → 72.10s | HINDI (hi=70%)] उसका नब्य परसेन, उससे से तुल्ना करना हैं।  {CS:18 switches}
[72.10s → 75.40s | HINDI (hi=57%)] तो उससे तुल्ना करने योगी जब हो जाएं,  {CS:33 switches}
[75.40s → 77.68s | HINDI (hi=71%)] तो हम कहते हैं, और बहुत ज़ादा स्पीर होगी है,  {CS:27 switches}
[78.30s → 82.92s | HINDI (hi=62%)] वैसी हालत में जो नूटन के नियमों से हम गदियों के चर्चा करते हैं,  {CS:48 switches}
[83.04s → 85.88s | HINDI (hi=60%)] और बहुत सटीग, बहुत अच्छी चर्चा होती हैं,  {CS:18 switches}
[85.94s → 88.78s | HINDI (hi=53%)] और बहुत सटीग उसके परनाम निकलते हैं,  {CS:28 switches}
[88.78s → 90.78s | HINDI (hi=60%)] वो यहाँ पर आकर के गर्ब राते हैं,  {CS:15 switches}
[91.94s → 96.42s | HINDI (hi=63%)] तो आम जंदगे में तो हमें उतने हाई स्पीट से वास्ता कम परता हैं,  {CS:48 switches}
[96.46s → 98.16s | HINDI (hi=56%)] लाइट खुद आती हैं अपनी स्पीट से,  {CS:16 switches}
[98.38s → 100.78s | HINDI (hi=67%)] वही हाई स्पीट से हमरा वास्ता परता हैं,  {CS:27 switches}
[102.10s → 105.60s | HINDI (hi=71%)] लेकिन जो इक्सेलेरेटर्स पे कांग करते हैं,  {CS:35 switches}
[105.60s → 110.96s | HINDI (hi=62%)] जो फिसिसिस्ट पार्टिकल्स को इक्सेलेरेट कराते हैं मशीनों के अंडर में,  {CS:39 switches}
[111.10s → 112.94s | HINDI (hi=53%)] वो फिर बहुत बड़ी-बड़ी वेलाफिटी से,  {CS:15 switches}
[112.98s → 117.28s | HINDI (hi=61%)] बहुत बड़ी-बड़ी स्पीट के साज में आमना सामना होता हैं,  {CS:51 switches}
[117.28s → 119.66s | HINDI (hi=70%)] तो वहाँ पे हाई स्पीट जब इंपाल हो,  {CS:15 switches}
[119.66s → 122.50s | ENGLISH (hi=45%)] तो फिर चीजे कुछ पडलती हैं,  {CS:34 switches}
[122.50s → 125.10s | HINDI (hi=55%)] और उसमें से निकलती हैं हमारे रिलेटिविटी की थेरीज,  {CS:25 switches}
[129.78s → 132.90s | HINDI (hi=66%)] तो नूटन्स लौज को हमें मॉडिफाई करना होता हैं,  {CS:28 switches}
[132.90s → 134.26s | HINDI (hi=56%)] हमें चेंज करना होता हैं,  {CS:12 switches}
[134.26s → 136.66s | HINDI (hi=55%)] हमें लिलियर मोमेंटम अलग से डिफाइन करना होता हैं,  {CS:26 switches}
[136.66s → 138.24s | HINDI (hi=69%)] तो थोड़ा परिवर्तन करना होता हैं,  {CS:19 switches}
[138.24s → 140.86s | HINDI (hi=57%)] बहुत जादा नहीं तोड़ा परिवर्तन करना होता हैं,  {CS:24 switches}
[143.48s → 148.94s | HINDI (hi=57%)] स्पेस और टाइम को देखने के जो अपनी द्रिस्टी हैं,  {CS:35 switches}
[148.96s → 152.52s | HINDI (hi=63%)] उसमें एक बहुत बढ़ा परिवर्तन इसके कारण से आगा हैं,  {CS:33 switches}
[152.52s → 154.70s | HINDI (hi=55%)] हाई स्पीच की जब हम बात करते हैं,  {CS:20 switches}
[154.70s → 158.98s | HINDI (hi=61%)] तो फिर लिंट किसको कहते हैं,  {CS:35 switches}
[158.98s → 161.66s | HINDI (hi=62%)] और टाइम इंटर्वल्स किसको कहते हैं,  {CS:19 switches}
[161.72s → 164.34s | ENGLISH (hi=47%)] दो घत्नाएं एक साथ हो रही हैं,  {CS:15 switches}
[164.42s → 166.38s | HINDI (hi=60%)] ये हम किसको कहते हैं,  {CS:17 switches}
[166.38s → 169.28s | HINDI (hi=53%)] एक पहले हो रहे हैं, एक बादमे हो रहे हैं,  {CS:19 switches}
[169.28s → 173.02s | HINDI (hi=58%)] ये जो हमारी स्पेश और टाइम की जो कल्पना हैं,  {CS:32 switches}
[173.02s → 175.90s | HINDI (hi=54%)] हम अपनी आम जद्ड़ी से लेकर के आते हैं,  {CS:29 switches}
[175.90s → 178.48s | HINDI (hi=60%)] उनमें फिर बद्लाल करना होता हैं,  {CS:32 switches}
[178.48s → 180.72s | HINDI (hi=54%)] और वो चुनाओ की पून काम होता हैं,  {CS:20 switches}
[180.82s → 184.70s | ENGLISH (hi=46%)] क्योंकि वहाँ पर हमारा अपना अनभाव काम नहीं आता हैं,  {CS:38 switches}
[184.70s → 186.12s | HINDI (hi=60%)] और इस कारण से,  {CS:9 switches}
[186.12s → 189.20s | HINDI (hi=63%)] हम लोग उस स्थुती के अंदर में,  {CS:33 switches}
[189.28s → 192.10s | HINDI (hi=57%)] थोड़ा चिन्तन करने के जदुरत परते हैं,  {CS:32 switches}
[192.10s → 196.94s | HINDI (hi=58%)] क्योंकि वहाँ लिकुएश्यं और फार्मुले इसके अपना काम नहीं चल्ड़ना हैं,  {CS:35 switches}
[196.94s → 201.18s | HINDI (hi=58%)] तो वहाँ स्वाभाविक रूप से बहुत रोचक पाते होती हैं,  {CS:49 switches}
[201.18s → 205.18s | HINDI (hi=56%)] जब जो हमारे इन्टूशन से बहर के जिसे होती हैं,  {CS:41 switches}
[206.20s → 210.02s | HINDI (hi=66%)] वो सच्मुच रोचक होती हैं और चादर रोचक होती हैं,  {CS:32 switches}
[210.02s → 212.12s | HINDI (hi=57%)] और फिर जब हम देखते हैं,  {CS:21 switches}
[212.12s → 216.00s | HINDI (hi=60%)] कि ये जो एक बहुत अलग किसम का हमने मारडल बनाया हैं,  {CS:29 switches}
[216.14s → 219.28s | HINDI (hi=60%)] वो हमारी वास्तवीत प्रावों के सान नाच करता हैं,  {CS:29 switches}
[219.28s → 222.38s | HINDI (hi=64%)] तो वो बड़ा आहलाद और बड़ा आहलाद होता हैं,  {CS:28 switches}
[222.38s → 224.12s | HINDI (hi=69%)] तो वो एक साइद हैं,  {CS:17 switches}
[224.14s → 228.28s | HINDI (hi=57%)] और दोसरा साइद जहां क्लासिकल फिजिक से हमारा क्राम नहीं चलता हैं,  {CS:33 switches}
[228.38s → 234.52s | HINDI (hi=62%)] वो है जब हम बहुत चोटे पार्टिकल्स के पार्टिकल्स के पार्टिकल्स हैं,  {CS:49 switches}
[234.52s → 236.16s | HINDI (hi=61%)] तो स्मॉल पार्टिकल्स,  {CS:9 switches}
[236.60s → 238.52s | ENGLISH (hi=50%)] और स्मॉल याने क्या,  {CS:13 switches}
[243.10s → 245.36s | HINDI (hi=62%)] तो स्मॉल याने आप समझ ले,  {CS:22 switches}
[245.76s → 247.52s | HINDI (hi=64%)] मॉलिकल्स हैं, आटम्स हैं,  {CS:12 switches}
[248.46s → 249.64s | HINDI (hi=50%)] नुक्लियाम्स हैं,  {CS:15 switches}
[249.66s → 251.46s | HINDI (hi=57%)] प्रोटॉन्स हैं, नूट्रॉन्स हैं,  {CS:10 switches}
[251.48s → 252.80s | ENGLISH (hi=45%)] इलिक्रॉन्स हैं,  {CS:16 switches}
[252.80s → 255.24s | HINDI (hi=69%)] जब चोटे पार्टिकल्स के बार करते हैं,  {CS:23 switches}
[255.24s → 257.50s | ENGLISH (hi=48%)] तो वहाँ पर सिर हमारे ये जो  {CS:18 switches}
[257.50s → 260.24s | HINDI (hi=60%)] क्लैसिकल्स के अमारे रूल्स बनाए हमें,  {CS:15 switches}
[260.84s → 262.38s | HINDI (hi=50%)] लॉर्ट बनाए हमें,  {CS:12 switches}
[262.42s → 264.06s | HINDI (hi=69%)] उनसे काम नहीं चरूता,  {CS:17 switches}
[264.28s → 266.24s | HINDI (hi=61%)] और यहां तो  {CS:18 switches}
[266.24s → 269.20s | HINDI (hi=50%)] आमॉल चुल परिवर्दन करना हैं वरता हैं,  {CS:29 switches}
[269.22s → 270.48s | HINDI (hi=55%)] विलिटिविटी में तोड़ा  {CS:23 switches}
[270.48s → 272.10s | HINDI (hi=70%)] स्पेस्टाइम को समझने में  {CS:19 switches}
[272.86s → 275.20s | ENGLISH (hi=47%)] तोड़ा बेसिक प्रब्लेम हैं,  {CS:18 switches}
[275.20s → 277.70s | HINDI (hi=71%)] और उसको अबहलक से समझना वरता हैं,  {CS:26 switches}
[277.70s → 279.24s | ENGLISH (hi=34%)] लेकिन यहां तो पूरी की पूरी  {CS:17 switches}
[279.24s → 281.10s | HINDI (hi=58%)] फ्लॉसर्भी ही बदल जाते हैं,  {CS:11 switches}
[281.12s → 284.00s | HINDI (hi=63%)] और तोब जो वो जो थ्योरी निकल करते आई हैं,  {CS:29 switches}
[284.00s → 287.64s | HINDI (hi=57%)] जिससे हम उन स्माल पार्टिकल्स के बारे में,  {CS:23 switches}
[287.64s → 289.32s | HINDI (hi=66%)] उनके भ्यावार के बारे में,  {CS:18 switches}
[289.38s → 290.94s | ENGLISH (hi=48%)] प्रेडिक्षन्स करते हैं,  {CS:12 switches}
[290.94s → 292.38s | HINDI (hi=61%)] उसको समझते हैं,  {CS:17 switches}
[292.40s → 293.96s | HINDI (hi=52%)] तो वो हैं हमारा पार्टिकल्स  {CS:19 switches}
[303.72s → 307.72s | HINDI (hi=54%)] तो एक बहुत चुनात्य पूर्ण काम होगा,  {CS:32 switches}
[308.02s → 310.38s | HINDI (hi=53%)] कि हम अपनी सारी सोच को पड़ल डाले,  {CS:13 switches}
[310.84s → 312.28s | ENGLISH (hi=49%)] आसान नहीं होगा यह,  {CS:10 switches}
[312.28s → 314.50s | HINDI (hi=53%)] और इसले बहुत सारी,  {CS:17 switches}
[314.50s → 316.24s | HINDI (hi=68%)] बहुत सारी दिशकृषन्स करने होगे,  {CS:19 switches}
[316.36s → 318.26s | ENGLISH (hi=44%)] बहुत सारी बाते करनी होगी,  {CS:16 switches}
[318.68s → 320.26s | HINDI (hi=52%)] वाद विवाद करने होगे,  {CS:17 switches}
[320.46s → 322.96s | HINDI (hi=54%)] उसको सिंक करने के लिए दिवाद के अंदर में,  {CS:25 switches}
[323.00s → 324.96s | HINDI (hi=56%)] कि हम क्या कह रहे हैं ये सब,  {CS:24 switches}
[325.12s → 327.26s | HINDI (hi=67%)] जो कि विलकुल खांटर इंटॉटिटिव है,  {CS:24 switches}
[327.26s → 329.26s | HINDI (hi=57%)] और अलग कसम के चीजे हैं,  {CS:13 switches}
[330.80s → 333.74s | HINDI (hi=54%)] बेसिकली हमारे जो बहुत मुल भुत सिथान्त,  {CS:27 switches}
[333.86s → 336.46s | HINDI (hi=66%)] अमने अपने दिमार में बिठाये हैं,  {CS:19 switches}
[336.50s → 339.20s | HINDI (hi=59%)] वो भी यहां बर्बरते हैं बर्बरते हैं,  {CS:26 switches}
[339.32s → 344.44s | ENGLISH (hi=42%)] बिजान हैं, विज्यान का कोई प्रयोग करना हैं,  {CS:62 switches}
[344.44s → 346.52s | HINDI (hi=50%)] तो अगर आप एक प्रयोग करोगे,  {CS:25 switches}
[346.52s → 348.98s | ENGLISH (hi=36%)] और एक प्रिनाम मिलेगा,  {CS:23 switches}
[349.08s → 352.52s | HINDI (hi=63%)] और उससी प्रयोग को तीक तीक उससी प्रकार होगे,  {CS:21 switches}
[353.32s → 355.00s | HINDI (hi=54%)] तो वही प्रिनाम मिलेगा,  {CS:16 switches}
[355.18s → 358.52s | HINDI (hi=61%)] आइडिन्टिकल एकस्परिमेंट्स विल्गे लिए आप आइडिन्टिकल प्रिजाल्स,  {CS:32 switches}
[359.94s → 366.68s | HINDI (hi=57%)] ये भी यहां बर साहिदी होना,  {CS:52 switches}
[366.68s → 396.66s | HINDI (hi=55%)] आइडिन्टिकल एकस्परिमेंट्स विल्गे आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्ग  {CS:260 switches}
[426.56s → 426.64s | ENGLISH (hi=0%)] आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे लिए आइ�
[455.22s → 456.62s | HINDI (hi=63%)] जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी  {CS:14 switches}
[471.78s → 486.62s | HINDI (hi=55%)] विल्गे लिए आइडिन्टिकल विल्गे लिए आइडिन्टिकल विल्गे जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिर  {CS:113 switches}
[495.02s → 514.36s | HINDI (hi=56%)] जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी जिरी।  {CS:161 switches}
[524.92s → 531.06s | HINDI (hi=56%)] अपको परावर्तित बी होती हैं।  {CS:48 switches}
[558.48s → 562.78s | ENGLISH (hi=39%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:31 switches}
[578.72s → 580.62s | HINDI (hi=60%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:19 switches}
[581.20s → 585.76s | HINDI (hi=57%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:43 switches}
[585.76s → 588.86s | HINDI (hi=62%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:29 switches}
[588.86s → 593.84s | HINDI (hi=57%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:44 switches}
[593.84s → 596.62s | ENGLISH (hi=41%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:26 switches}
[598.30s → 599.98s | HINDI (hi=75%)] अपको परावर्तित बीन परावर्तित होती हैं।  {CS:8 switches}
