# Code-Switched Transcript
# Format: [start → end | LANG (hi%)] text  {CS} if code-switched

[244.18s → 247.58s | HINDI (hi=77%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[252.88s → 256.58s | HINDI (hi=100%)] तो वो एक साइद हैं, तो वो एक साइद हैं,
[257.80s → 261.94s | HINDI (hi=75%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:3 switches}
[262.14s → 263.20s | HINDI (hi=63%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[264.44s → 268.38s | HINDI (hi=76%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[268.68s → 274.78s | HINDI (hi=73%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:5 switches}
[275.48s → 280.52s | HINDI (hi=72%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:4 switches}
[280.52s → 288.00s | HINDI (hi=72%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:10 switches}
[288.00s → 288.94s | HINDI (hi=54%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[288.94s → 290.54s | HINDI (hi=75%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:3 switches}
[290.88s → 293.56s | HINDI (hi=78%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:3 switches}
[303.28s → 310.06s | HINDI (hi=64%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:6 switches}
[312.08s → 316.28s | HINDI (hi=79%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:4 switches}
[316.28s → 319.82s | HINDI (hi=78%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[320.44s → 322.58s | HINDI (hi=66%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:3 switches}
[323.06s → 327.40s | HINDI (hi=60%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:4 switches}
[327.68s → 333.72s | HINDI (hi=67%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:8 switches}
[333.72s → 348.96s | HINDI (hi=56%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:17 switches}
[348.96s → 351.52s | HINDI (hi=60%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:5 switches}
[351.52s → 354.78s | HINDI (hi=76%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:4 switches}
[354.96s → 357.06s | HINDI (hi=66%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:4 switches}
[357.30s → 362.46s | HINDI (hi=76%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:5 switches}
[362.46s → 369.00s | HINDI (hi=60%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:5 switches}
[369.00s → 370.62s | HINDI (hi=74%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[370.62s → 372.32s | HINDI (hi=61%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:2 switches}
[372.40s → 377.92s | HINDI (hi=74%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:5 switches}
[378.38s → 384.64s | HINDI (hi=69%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:6 switches}
[386.24s → 391.60s | HINDI (hi=69%)] कितना सरल सा और निर्दोश जैसा इन्नोसैंट क्रेस्चेट हैं,  {CS:5 switches}
[391.72s → 395.48s | HINDI (hi=67%)] कि इस टाइम के उपर ये पार्टिकल कहा हैं,  {CS:3 switches}
[395.60s → 398.82s | HINDI (hi=78%)] ये प्रश्न भी यहां पूछने के इजाज़त नहीं हैं,  {CS:4 switches}
[398.82s → 404.04s | HINDI (hi=75%)] क्योंकि इस प्रश्न कर कोई उद्धर पॉन्जम क्रेस्ट के फेरी नहीं देती,  {CS:4 switches}
[404.04s → 407.54s | HINDI (hi=68%)] और पूछने को भी मनाए करते हैं,  {CS:4 switches}
[407.62s → 412.14s | HINDI (hi=84%)] कि इस प्रश्न के इजाज़त नहीं हैं,
[412.20s → 417.08s | HINDI (hi=82%)] तो बहुत सारे बहुत बेसिक चेंजेज तॉर्ट्स में आपने को लाना उड़ेंगा,
[417.12s → 418.98s | HINDI (hi=100%)] तो उसके लिए हमगार लोग रहा हैं,
[420.68s → 424.94s | HINDI (hi=78%)] हम शुर्वा तो ये जो बेसिक थॉर्ट्स के में बात कर रहा हूं,  {CS:5 switches}
[424.94s → 428.90s | HINDI (hi=87%)] उनको तोड़ा तोड़ा थिरे थिरे थिरे थिरे लाने के लिए,
[428.94s → 432.64s | HINDI (hi=83%)] में शुर्वा तो लाइट से करूगा, प्रकाश से करूगा,
[432.88s → 435.90s | HINDI (hi=73%)] लाइट के वारे में हम लोग भहुत पुछ जानते हैं,  {CS:3 switches}
[435.90s → 438.94s | HINDI (hi=63%)] लाइट जो तो स्ट्रेट लाइन में चल्टी है,  {CS:2 switches}
[439.72s → 442.96s | HINDI (hi=68%)] हम उसको देख भी सकते हैं, उस ट्रेट लाइन चल्टी हैं,  {CS:5 switches}
[442.96s → 448.62s | HINDI (hi=79%)] मैं आपके दिखाउगा भी अभी, आपको दिखेगी वो चल्टी वो स्ट्रेट लाइन,  {CS:7 switches}
[449.96s → 455.54s | HINDI (hi=57%)] फिर लाइट जो है वो रिफ्लेक्षण होता है, उसका परावर्तन होता है,  {CS:7 switches}
[455.60s → 459.70s | HINDI (hi=76%)] उसका अगर सपाट सता है के उपर लाइट पड़े किसी गौन पे,  {CS:5 switches}
[459.86s → 465.62s | HINDI (hi=63%)] तो फिर वो परावर्तित होती है, ये भी हम आपको भी यहाँ पे लिखलाने जा रहे हैं,  {CS:8 switches}
[467.62s → 472.12s | HINDI (hi=52%)] और परावर्तन के वाद, अपवर्तन है रिफ्राक्षण जिसको गहते है,  {CS:7 switches}
[472.28s → 477.96s | HINDI (hi=60%)] अगर एक ट्रांस्परेंट वीडियम से, दूसरे ट्रांस्परेंट वीडियम लाइट जा रहे हैं,  {CS:7 switches}
[477.96s → 484.10s | HINDI (hi=61%)] तो जुक जाती हैं, उसका अगल बदल जाता है, ये सब जिज़ें हम बहुत एच्टिटरीके से जानते हैं,  {CS:8 switches}
[484.10s → 491.40s | HINDI (hi=77%)] तो हम आपको कुछ जिज़ें यहाँ पर खॉक्ली करके दिखाते हैं, जो की जिज़ें हम अमुमन जानते हैं,  {CS:9 switches}
[491.40s → 501.54s | HINDI (hi=67%)] तो यहाँ पे आप देखरे हैं, यह एक लेजर का सॉर्स है यह, इसमें से लाइट निकल रही हैं, और लाइट निकल रही हैं, उसके आप देख सकते हैं, लाइट निकल रही हैं,  {CS:16 switches}
[501.54s → 516.28s | HINDI (hi=81%)] और यह आगे जाकर के इस चिशे के डबे में जा रही हैं, और यहाँ इस चिशे के डबे में हमने हल्का स्मॉक ड़ाला हुए हैं, ताकि आपको इसका रस्ता दिखाई दे सके, यहाँ पे आपको रस्ता दिखाई नहीं हैं, हला कि लाइट हैं, लेकिन यह आप देखे हैं,
[516.28s → 523.58s | HINDI (hi=88%)] तो लाइट जो स्ट्रेट लाइन में चलती हैं, आपको यहां से अंदाजा लगा सकते हैं, यहां लाइट स्ट्रेट लाइन में चलती हैं,
[523.58s → 530.62s | HINDI (hi=88%)] और अगर किसे सपाज सतह पे पडे तो वहां से वो परावर्तित भी होती हैं, तो उसको भी दिखाते हैं आपको,
[530.62s → 535.72s | HINDI (hi=65%)] तो यहां आप देख रहे हैं, हमने एक काच के शीशी के नदर में पानी रखा हुआ है,  {CS:7 switches}
[536.06s → 539.54s | HINDI (hi=84%)] और उस पानी के उपर की जगह में तोड़ा हल्का स्पूक ड़ा ला हुआ हुए,
[539.66s → 544.40s | HINDI (hi=68%)] तो उपर की हवा में जो रे जा रही हैं या भीम जा रही हैं वो आपको दिख रही हैं,  {CS:4 switches}
[544.40s → 547.50s | HINDI (hi=84%)] और फिर आप दिखें ये पानी के अंदर में जो भीम जा रही हैं,
[547.52s → 551.70s | HINDI (hi=78%)] रिफ्राक्ट होगे, अबवर्पित होगे तो तोड़ा जुड़ के ये मुर गई हैं,  {CS:3 switches}
[552.32s → 558.82s | HINDI (hi=71%)] और आप इस एरिया में देखी हैं, इस पानी के सतह से परावर्तन भी हो रहा है,  {CS:9 switches}
[558.82s → 562.82s | HINDI (hi=56%)] और आपको एक हल्की परावर्तित भीम भी दिख रही होगे,  {CS:6 switches}
[562.98s → 567.56s | HINDI (hi=83%)] तो एक साथ लाइट का अप वर्तन भी होता है और परावर्तन भी होता है,
[567.66s → 572.84s | HINDI (hi=90%)] रिफ्लेक्चन रिफ्राक्चन साथ-साथ हो रहे हैं, तो आप इसके इंटेंस्टी पे गार किजेगा,
[572.84s → 578.48s | HINDI (hi=98%)] जो अंदर जारे हैं उसके इंटेंस्टी और जो परावर्तित हो रहे हैं उसके इंटेंस्टी को कंपेर किजेगा,
[578.48s → 585.72s | HINDI (hi=74%)] रिफ्राक्चन रे की इंटेंस्टी काफी जादा हैं, रिफ्लेक्चन रे की इंटेंस्टी या रिफ्लेक्चन बीम क्या लिए हैं उसके इंटेंस्टी काम हैं,  {CS:6 switches}
[585.78s → 588.48s | HINDI (hi=90%)] इसको द्यान रखेगा, इसके में चर्चा बाद में भी करूगा,
[589.08s → 593.82s | HINDI (hi=64%)] यहाँ पे फिरसे हमने इस लेजर बीम को और इस ग्रेटिंग के उपर ड़ाला,  {CS:6 switches}
[593.82s → 596.48s | HINDI (hi=62%)] यह ग्रेटिंग हैं, अभी पताँगा मैं कि ग्रेटिंग क्या होती है,  {CS:5 switches}
[598.02s → 599.98s | HINDI (hi=80%)] इस बीम को मैं इस ग्रेटिंग के उपर ड़ाला,
